10/5/2021,MSFT,101.00
10/4/2021,MSFT,120.12
10/1/2021,MSFT,123.00
09/30/2021,MSFT,113.00
09/29/2021,MSFT,113.00
09/28/2021,MSFT,113.00
09/27/2021,MSFT,113.00
09/24/2021,MSFT,113.00
09/23/2021,MSFT,113.00
09/22/2021,MSFT,113.00
09/21/2021,MSFT,113.00
09/20/2021,MSFT,113.00
09/17/2021,MSFT,113.00
09/16/2021,MSFT,113.00
09/15/2021,MSFT,113.00
09/14/2021,MSFT,113.00
09/13/2021,MSFT,113.00
09/10/2021,MSFT,113.00
09/09/2021,MSFT,113.00
09/07/2021,MSFT,113.00
09/06/2021,MSFT,113.00
09/03/2021,MSFT,113.00
09/02/2021,MSFT,113.00
09/01/2021,MSFT,113.00
08/31/2021,MSFT,111.19
08/30/2021,MSFT,112.72
08/27/2021,MSFT,114.89
08/26/2021,MSFT,115.67
08/25/2021,MSFT,116.71
08/24/2021,MSFT,117.67
08/23/2021,MSFT,115.66
08/20/2021,MSFT,115.00
08/19/2021,MSFT,112.00
08/18/2021,MSFT,115.00
08/17/2021,MSFT,110.00
08/16/2021,MSFT,111.00
08/13/2021,MSFT,112.00
08/12/2021,MSFT,114.00
08/11/2021,MSFT,112.00
08/10/2021,MSFT,112.67
08/09/2021,MSFT,111.67
08/06/2021,MSFT,110.56
08/05/2021,MSFT,114.34
08/04/2021,MSFT,115.06
08/03/2021,MSFT,113.04
08/02/2021,MSFT,115.05
10/5/2021,SPY,98.00
10/4/2021,SPY,98.12
10/1/2021,SPY,98.76
09/30/2021,SPY,94.00
09/29/2021,SPY,93.00
09/28/2021,SPY,92.65
09/27/2021,SPY,91.00
09/24/2021,SPY,93.00
09/23/2021,SPY,95.00
09/22/2021,SPY,93.00
09/21/2021,SPY,93.00
09/20/2021,SPY,94.00
09/17/2021,SPY,96.00
09/16/2021,SPY,94.00
09/15/2021,SPY,96.00
09/14/2021,SPY,97.00
09/13/2021,SPY,98.00
09/10/2021,SPY,99.00
09/09/2021,SPY,95.00
09/07/2021,SPY,96.00
09/06/2021,SPY,97.00
09/03/2021,SPY,98.00
09/02/2021,SPY,99.00
09/01/2021,SPY,98.05
08/31/2021,SPY,97.19
08/30/2021,SPY,98.72
08/27/2021,SPY,99.89
08/26/2021,SPY,98.67
08/25/2021,SPY,94.71
08/24/2021,SPY,95.67
08/23/2021,SPY,97.66
08/20/2021,SPY,96.00
08/19/2021,SPY,97.00
08/18/2021,SPY,98.00
08/17/2021,SPY,99.00
08/16/2021,SPY,97.00
08/13/2021,SPY,96.00
08/12/2021,SPY,95.00
08/11/2021,SPY,94.00
08/10/2021,SPY,97.67
08/09/2021,SPY,99.67
08/06/2021,SPY,97.56
08/05/2021,SPY,96.34
08/04/2021,SPY,97.06
08/03/2021,SPY,98.04
08/02/2021,SPY,99.05





